mushroomName,edibility,commonName,preferredSearch,season,similarSpecies,description
Russula albidula,unknown,WHITISH BRITTLEGILL ,,"summer, fall",Russula albella,"Russula albidula is a species of mushroom in the Russula genus. The species, known in the vernacular as the boring white Russula or the whitish brittlegill, is nondescript, with a small or medium dirty white fruit body, and a highly acrid taste. It is found in eastern North America."
Russula compacta,yes,COMPACT BRITTLEGILL ,,,Russula crassotunicata,
Russula brevipes,yes,STUBBY BRITTLEGILL,,"summer, fall","Hygrophorus subalpinus, Lactifluus piperatus, Russula delica","Russula brevipes is a species of mushroom commonly known as the short-stemmed russula or the stubby brittlegill. It is widespread in North America, and was reported from Pakistan in 2006. The fungus grows in a mycorrhizal association with trees from several genera, including fir, spruce, Douglas-fir, and hemlock. Fruit bodies are white and large, with convex to funnel-shaped caps measuring 7–30 cm (3–12 in) wide set atop a thick stipe up to 8 cm (3 in) long. The gills on the cap underside are closely spaced and sometimes have a faint bluish tint. Spores are roughly spherical, and have a network-like surface dotted with warts.
The mushrooms of Russula brevipes often develop under masses of conifer needles or leaves of broadleaved trees, and fruit from summer to autumn. Forms of the mushroom that develop a bluish band at the top of the stipe are sometimes referred to as variety acrior. Although edible, Russula brevipes mushrooms have a bland or bitter flavor. They become more palatable once parasitized by the ascomycete fungus Hypomyces lactifluorum, a bright orange mold that covers the fruit body and transforms them into lobster mushrooms."
Hypomyces lactifluorum,yes,Lobster Mushroom,,,,"The Lobster mushroom, Hypomyces lactifluorum, contrary to its common name, is not a mushroom, but rather a parasitic ascomycete fungus that grows on certain species of mushrooms, turning them a reddish orange color that resembles the outer shell of a cooked lobster. H. lactifluorum specifically attacks members of the genera Lactarius and Lactifluus (milk-caps), and Russula (brittlegills), such as Russula brevipes and Lactifluus piperatus in North America. At maturity, H. lactifluorum thoroughly covers its host, rendering it unidentifiable. Lobster mushrooms are widely eaten and enjoyed; they are commercially marketed and are commonly found in some large grocery stores. They have a seafood-like flavor and a firm, dense texture."
Russula densifolia,no*,DENSE BRITTLEGILL,,"summer, fall","Russula nigricans, Russula dissimulans, Russula albonigra, Russula adusta","Russula densifolia, commonly known as the crowded russula or the reddening russula, is a species of agaric fungus in the family Russulaceae. It was first described in 1833 and given its current name in 1876. A widespread species, it is found in Asia, Europe, and North America, where it fruits on the ground in mixed and deciduous forests. Fruit bodies (mushrooms) are robust and squat, with caps up to 14.5 cm (5.7 in) in diameter, and stems that are 2–7.5 cm (0.8–3.0 in) long by 1.2–2.5 cm (0.5–1.0 in) thick. The mushrooms are characterized by the red and then black color changes that occur in the flesh when it is bruised, and a relatively thick cap cuticle. Although the mushroom is sold as an edible species in some areas of Asia, it is mild to moderately toxic, and may cause gastrointestinal upset if consumed. Several bioactive compounds have been isolated and identified from the mushroom."
Russula emetica,no,SICKENER,,"summer, fall","Russula fragilis, Russula nobilis, Russula sanguinaria, Russula betularum, Russula aurea","Russula emetica, commonly known as the sickener, emetic russula, or vomiting russula, is a basidiomycete mushroom, and the type species of the genus Russula. It has a red, convex to flat cap up to 8.5 cm (3.3 in) in diameter, with a cuticle that can be peeled off almost to the centre. The gills are white to pale cream, and closely spaced. A smooth white stem measures up to 10.5 cm (4.1 in) long and 2.4 cm (0.9 in) thick. First described in 1774, the mushroom has a wide distribution in the Northern Hemisphere, where it grows on the ground in damp woodlands in a mycorrhizal association with conifers, especially pine.
The mushroom's common names refer to the gastrointestinal distress they cause when consumed raw. The flesh is extremely peppery, but this offensive taste, along with its toxicity, can be removed by parboiling or pickling. Although it used to be widely eaten in Russia and eastern European countries, it is generally not recommended for consumption. There are many similar Russula species that have a red cap with white stem and gills, some of which can be reliably distinguished from R. emetica only by microscopic characteristics."
Russula flavipes,unknown,GOLDEN BRITTLEGILL,,summer,,
Russula fragilis,no,FRAGILE BRITTLEGILL,,"summer, fall","Russula emetica, Russula nobilis, Russula sanguinaria, Russula betularum, Russula aurea","The inedible wild mushroom Russula fragilis, which goes by the common name of the fragile brittlegill, is a member of the Russula genus, whose members are commonly known as brittlegills. It is a small, fragile, long stemmed, and variably coloured brittlegill, found in mixed forests, and woods in Europe, Asia, and North America."
Russula fragrantissima,no*,STINKING BRITTLEGILL,,"summer, fall","Russula laurocerasi, Russula subfoetans, Russula ventricosipes",
Russula pectinatoides,no*,SCALLOP BRITTLEGILL,,"summer, fall","Russula amoenolens, Russula cerolens",
Russula variata,yes,VARIEGATED BRITTLEGILL,,summer,"Russula aeruginea, Russla virescens",Russula variata is a basidiomycete mushroom of the genus Russula native to North America.
Russula ventricosipes,unknown,SAND BRITTLEGILL,,"summer, fall","Russula lilaceps, Russula fragrantissima",
Russula virescens,yes,GREEN BRITTLEGILL,,summer,Russula crustosa,"Russula virescens is a basidiomycete mushroom of the genus Russula, and is commonly known as the green-cracking russula, the quilted green russula, or the green brittlegill. It can be recognized by its distinctive pale green cap that measures up to 15 cm (6 in) in diameter, the surface of which is covered with darker green angular patches. It has crowded white gills, and a firm, white stipe that is up to 8 cm (3 in) tall and 4 cm (1.6 in) thick. Considered to be one of the best edible mushrooms of the genus Russula, it is especially popular in Spain and China. With a taste that is described variously as mild, nutty, fruity, or sweet, it is cooked by grilling, frying, sautéeing, or eaten raw. Mushrooms are rich in carbohydrates and proteins, with a low fat content.
The species was described as new to science in 1774 by Jacob Christian Schaeffer. Its distribution encompasses Asia, North Africa, Europe, and Central America. Its presence in North America has not been clarified, due to confusion with the similar species Russula parvovirescens and R. crustosa. R. virescens fruits singly or scattered on the ground in both deciduous and mixed forests, forming mycorrhizal associations with broadleaf trees such as oak, European beech, and aspen. In Asia, it associates with several species of tropical lowland rainforest trees of the family Dipterocarpaceae. R. virescens has a ribonuclease enzyme with a biochemistry unique among edible mushrooms. It also has biologically active polysaccharides, and a laccase enzyme that can break down several dyes used in the laboratory and in the textile industry."
Russula xerampelina,yes,SHELLFISH BRITTLEGILL,,"summer, fall",,"Russula xerampelina, also commonly known as the crab brittlegill or the shrimp mushroom, is a basidiomycete mushroom of the brittlegill genus Russula. Two subspecies are recognised. The fruiting bodies appear in coniferous woodlands in autumn in northern Europe and North America. Their caps are coloured various shades of wine-red, purple to green. Mild tasting and edible, it is one of the most highly regarded brittlegills for the table. It is also notable for smelling of shellfish or crab when fresh."
Lactarius affinis,unknown,KINDRED MILKCAP,,"summer, fall","Lactarius pallidus, Lactarius trivialis, Lactarius pseudoaffinis","Lactarius affinis, commonly known as the kindred milk cap, is a species of milk-cap mushroom in the family Russulaceae. It is found northeastern North America, where it fruits in the summer and fall, and is common in the Great Lakes region. Its fruit bodies have medium to large, slimy dull yellow or brownish caps. Although not considered poisonous, it is unpalatable because of its highly acrid taste."
Lactarius aquifluus,no*,WATERDROP MILKCAP,,"summer, fall","Lactarius aquifluus, Lactarius helvus","Lactarius helvus, commonly known as fenugreek milkcap, is a member of the large milkcap genus Lactarius in the order Russulales. Fruiting bodies can be found in Sphagnum moss in coniferous and deciduous woodland in Europe, and possibly North America, although considerable debate continues about the North American variety, formerly referred to as Lactarius aquifluus. Mushrooms are pale brown-grey or beige in colour and funnel-shaped, with colourless, watery milk. Its distinctive smell has been likened to fenugreek, celery, liquorice, or Maggi instant soup. Mildly toxic when raw, it has been implicated in the poisoning of 418 people near Leipzig in October 1949. However, it is used in small quantities as a spice when dried. Sotolon, the agent that gives the fungus its odour, also occurs in fenugreek, maple syrup and lovage.
The possible North American variety has a more salmon to pink color with scant watery milk and a strong smell of maple syrup or caramel. In Quebec it is known as the maple milky cap (Lactaire à odeur d'érable), and is fairly commonly eaten cooked and also sold as a dried powder and used as a spice, much in the same way that the candy cap mushroom is used on the west coast. Thus far, there have been no reported cases of illness from this variety in North America. Some confusion with the species Lactarius quietus var incanus is possible due to the similar smell. Lactarius quietus var incus, however, has a darker and more red appearance and when young, its milk is opaque and white, as opposed to the clear milk in Lactarius helvus. Furthermore, the possible North American variety of Lactarius helvus is restricted in distribution to the great lakes and north east, while lactarius quietus var incanus is commonly found much further south."
Lactarius atroviridis,no*,DARK-SPOTTED MILKCAP,,"summer, fall","Lactarius olivaceoumbrinus, Lactarius sordidus ",
Lactarius caespitosus,unknown,GRAY MILKCAP,,"summer, fall",Lactarius kaufmanii,
Lactarius chrysorrheus,no*,GOLD-DROP MILKCAP,,,"Lacatarius vinaceorufescens, Lactarius colorascens","Lactarius chrysorrheus (sometimes spelt Lactarius chrysorheus) is a member of the Lactarius genus, whose many members are commonly known as Milkcaps. It has recently been given the English (common) name of the Yellowdrop Milkcap. It is pale salmon in color, poisonous, and grows in symbiosis with oak trees.

"
Lactarius corrugis,yes,WRINKLED MILKCAP,,"summer, fall","Lactarius volemus, Lactarius hygrophoroides","Lactifluus corrugis (formerly Lactarius corrugis), commonly known as the corrugated-cap milky, is a species of fungus in the family Russulaceae. It was first described by American mycologist Charles Horton Peck in 1880."
Lactarius deceptivus,no*,COTTONROLL MILKCAP,,,"Lactarius tomentoso-marginatus, Lacatarius vellereus, Lactarius piperatus, Russula Brevipes","Lactifluus deceptivus (synonym Lactarius deceptivus), commonly known as the deceiving milkcap, is a common species of fungus in the Russulaceae family. It is found throughout eastern North America on the ground in coniferous forests near hemlock or deciduous forests near oak, and in oak-dominated forests of Costa Rica. It produces large mushrooms with funnel-shaped caps reaching up to 25 cm (9.8 in) in diameter, on top of hard white stems that may reach 4–10 cm (1.6–3.9 in) long and up to 3 cm (1.2 in) thick. The gills are closely spaced together and yellowish-cream in color. When young, the cap is white in all parts, but the depressed center becomes dull brownish in age and breaks up into scales. The edge of the cap has a roll of cottony tissue that collapses as the cap expands. The surface of the stem—especially near the base—has a velvety texture. The mushroom ""bleeds"" a milky white acrid latex when it is cut or injured. The fruit bodies are edible, but have a bitter taste that can be removed with cooking. Similar milk-cap species with which L. deceptivus might be confused include Lactifluus piperatus, L. pseudodeceptivus, L. caeruleitinctus, L. subvellereus, Lactarius arcuatus and Lactarius parvulus."
Lactarius deliciosus,yes,SAFFRON MILKCAP,,"summer, fall","Lactarius thyinos, Lactarius peckii, Lacatarius rubrilacteus, Lactarius salmoneus, Lactarius barrowsii, Lactarius pseudodeliciosus, Lactarius chelidonium, Lactarius torminosus, Lactarius pubescens","Lactarius deliciosus, commonly known as the saffron milk cap and red pine mushroom, is one of the best known members of the large milk-cap genus Lactarius in the order Russulales. It is found in Europe and has been accidentally introduced to other countries under conifers and can be found growing in pine plantations. A fresco in the Roman town of Herculaneum appears to depict Lactarius deliciosus and is one of the earliest pieces of art to illustrate a fungus."
Lactarius fumosus,unknown,SMOKY MILKCAP,,"summer, fall",,"Lactarius fumosus, commonly known as the smoky milkcap, is a species of fungus in the Russulaceae family."
Lactarius hygrophoroides,yes,ORANGE MILKCAP,,"summer, fall",,"Lactifluus hygrophoroides (formerly Lactarius hygrophoroides) is a member of the milk-cap genus Lactifluus in the order Russulales. It was first described scientifically by Miles Joseph Berkeley and Moses Ashley Curtis in 1859 as a species of Lactarius, and was historically known by this name until the systematics of milk-cap species were recently revised."
Lactarius indigo,yes,INDIGO MILKCAP,,"summer, fall",,"Lactarius indigo, commonly known as the indigo milk cap, the indigo (or blue) lactarius, or the blue milk mushroom, is a species of agaric fungus in the family Russulaceae. A widely distributed species, it grows naturally in eastern North America, East Asia, and Central America; it has also been reported in southern France. L. indigo grows on the ground in both deciduous and coniferous forests, where it forms mycorrhizal associations with a broad range of trees. The fruit body color ranges from dark blue in fresh specimens to pale blue-gray in older ones. The milk, or latex, that oozes when the mushroom tissue is cut or broken — a feature common to all members of the genus Lactarius — is also indigo blue, but slowly turns green upon exposure to air. The cap has a diameter of 5 to 15 cm (2 to 6 in), and the stem is 2 to 8 cm (0.8 to 3 in) tall and 1 to 2.5 cm (0.4 to 1.0 in) thick. It is an edible mushroom, and is sold in rural markets in China, Guatemala, and Mexico."
Lactarius lignyotus,no**,SOOTY MILKCAP ,,"summer, fall","Lactarius gerardii, Lactarius fallax, Lactarius fumosus",Lactarius lignyotus is a member of the large milk-cap genus Lactarius in the order Russulales. It was first described scientifically by Elias Magnus Fries in 1855.
Lactarius mucidus,no**,SLIMY MILKCAP,,"summer, fall","Lactarius kaufmanii, Lactarius pseudomucidus",
Lactarius peckii,no*,PECK'S MILKCAP,,,"Lactarius deliciosus, Lactarius allardii",
Lactarius piperatus,no*,PEPPER MILKCAP,,summer,"Lactarius neuhoffi, Lactarius angustifolius","Lactifluus piperatus (synonym Lactarius piperatus), commonly known as the peppery milk-cap, is a semi-edible basidiomycete fungus of the genus Lactifluus. Despite being edible, it is not recommended by some because of its poor taste, though can be used as seasoning when dried. The fruiting body is a creamy-white mushroom which is funnel-shaped when mature, with exceptionally crowded gills. It bleeds a whitish peppery-tasting milk when cut. Widely distributed across Europe and eastern North America, Lactifluus piperatus has been accidentally introduced to Australia. Mycorrhizal, it forms a symbiotic relationship with various species of deciduous tree, including beech, and hazel, and fruiting bodies are found on the forest floor in deciduous woodland."
Lactarius representaneus,no,SHAGGY BEAR,,"summer, fall","Lactarius speciosus, Lactarius scrobiculatus","Lactarius repraesentaneus, commonly known as the northern bearded milkcap, the northern milkcap, or the purple-staining milkcap, is a species of fungus in the Russulaceae family. It has a northerly distribution, and is found in temperate regions of North America and Europe, associated with spruce trees. Distinguishing features of its fruit body include the large orange-yellow cap up to 18 cm (7.1 in) wide, cream to pale yellow gills, and a yellow coarsely-pitted stem that is up to 12 cm (4.7 in) long and 3 cm (1.2 in) thick. Cut fruit bodies ooze a white latex that will stain mushroom tissue lilac to purple. Several chemicals have been isolated and identified from the fruit bodies that can modify the growth of plants, and the mushroom also has antibiotic activity against Staphylococcus aureus. L. repraesentaneus is poisonous, and consumption causes stomach aches."
Lactarius rubrilacteus,yes,RED-JUICE MILKCAP,,"summer, fall",,"Lactarius rubrilacteus is a species of mushroom of the genus Lactarius. It is also known as the bleeding milkcap, as is at least one other member of the genus, Lactarius deliciosus."
Lactarius rufus,yes*,RED-HOT MILKCAP,,,Lactarius alpinus,"Lactarius rufus is a common, medium-sized member of the Lactarius genus, whose many members are commonly known as milkcaps. Known by the common name of the rufous milkcap, or the red hot milk cap in North America. It is dark brick red in color, edible, and grows with pine or birch trees."
Lactarius scrobiculatus,no,SPOTSTALK,,,"Lactarius payettensis, Lactarius alnicola, Lactarius gossypinus, Lactarius representaneus","Lactarius scrobiculatus is a basidiomycete fungus, belonging to the genus Lactarius, whose members are called ""milk caps."" Taxonomy places this species into subgenus Piperites, section Zonarii, subsection Scrobiculati. The distinctive fruiting bodies of this large fungus are locally common in forests throughout Europe and North America. It is regarded as inedible by some authors, but it is nevertheless eaten in parts of Europe."
Lactarius subplinthogalus,unknown,MARYLAND MILKCAP,,"summer, fall",Lactarius hygrophoroides,
Lactarius subpurpureus,yes,RED-WINE MlLKCAP,,,Lactarius paradoxus,
Lactarius thyinos,yes,ORANGE-RING MILKCAP,,,"Lactarius deliciosus, Lactarius allardii, Lacatarius rubrilacteus",
Lactarius torminosus,yes**,POWDERPUFF MILKCAP,,"summer, fall","Lactarius pubescens, Lactarius villosus, Lactarius Deliciosus, Lactarius deterrimus","Lactarius torminosus, commonly known as the woolly milkcap or the bearded milkcap, is a large agaric fungus. A common and widely distributed species, it is found in North Africa, northern Asia, Europe, and North America. It was first described scientifically by Jacob Christian Schäffer in 1774 as an Agaricus, and later transferred to the genus Lactarius in 1821 by Samuel Frederick Gray. A variety, L. torminosus var. nordmanensis, is known from the United States, Canada, and Switzerland. L. torminosus officially became the type species of Lactarius in 2011 after molecular studies prompted the taxonomic reshuffling of species between several Russulaceae genera.
A mycorrhizal species, L. torminosus associates with various trees, most commonly birch, and its fruit bodies (mushrooms) grow on the ground singly or in groups in mixed forests. The caps of L. torminosus mushrooms are convex with a central depression, and attain a diameter of up to 10 cm (3.9 in). A blend of pink and ochre hues, the cap sometimes has concentric zones of alternating lighter and darker shades. The edge of the cap is rolled inward, and shaggy when young. On the underside of the cap are narrow flesh-colored gills that are crowded closely together. The cylindrical stem is a pale flesh color with a delicately downy surface and brittle flesh; it is up to 8 cm (3.1 in) long and 0.6–2 cm (0.2–0.8 in) thick. When cut or injured, the fruit bodies ooze a bitter white latex that does not change color upon exposure to air. The variety nordmanensis, in contrast, has latex that changes from white to yellow. Lactarius torminosus can be distinguished from similar species like L. pubescens or L. villosus by differences in morphology and coloration, or by microscopic characteristics like spore shape and size.
Although it is valued for its peppery flavor and eaten after suitable preparation in Russia and Finland, the species is highly irritating to the digestive system when eaten raw. The toxins, also responsible for the strongly bitter or acrid taste, are destroyed by cooking. Studies have identified several chemicals present in the mushrooms, including ergosterol and derivatives thereof, and the pungent-tasting velleral."
Lactarius trivialis,yes*,ORDINARY MILKCAP,,fall,"Lactarius affinis, Lactarius mucidus, Lactarius argillaceifolius","Lactarius trivialis is a species of mushroom belonging to the Lactarius genus. The fungus is most commonly found around Great Britain and Ireland. The colour of the mushroom's cap can range from a light brown colour, to dark purple. The species has a total of five subtaxa. It was discovered and first recorded in the year 1838 by Elias Magnus Fries, in his book, Epicrisis Systematis Mycologici."
Lactarius uvidus,no,DAMP MILKCAP ,,"summer, fall","Lactarius maculatus, Lactarius subpalustris","Lactarius uvidus is a European and North American ""milk-cap"" mushroom, of which the milk turns violet when the flesh is damaged. The fungi generally identified as L. uvidus are part of a complex of closely related species and varieties which are difficult to delimit definitively, .
It gives its name to the section Uvidi within the genus Lactarius. It is generally thought to be poisonous (but Moser classifies it as edible with reservations)."
Lactarius vellereus,no*,FLEECY MILKCAP,,,Lactarius subvellereus,"Lactifluus vellereus (formerly Lactarius vellereus), commonly known as the fleecy milk-cap, is a quite large fungus in the genus Lactifluus. It is one of the two most common milk-caps found with beech trees, with the other being Lactarius subdulcis."
Lactarius volemus,yes,T A WNY MILKCAP,,summer,,"Lactifluus volemus, formerly known as Lactarius volemus, is a species of fungus in the family Russulaceae. It is widely distributed in the northern hemisphere, in temperate regions of Europe, North America and Asia as well as some subtropical and tropical regions of Central America and Asia. A mycorrhizal fungus, its fruit bodies grow on the ground at the base of various species of trees from summer to autumn, either individually or in groups. It is valued as an edible mushroom, and is sold in markets in Asia. Several other Lactifluus mushrooms resemble L. volemus, such as the closely related edible species L. corrugis, but these can be distinguished by differences in distribution, visible morphology, and microscopic characteristics. L. volemus produces a white spore print and has roughly spherical spores about 7–8 micrometres in diameter.
The colour of the L. volemus mushroom varies from apricot to tawny, and the cap may be up to 11 cm (​4 1⁄2 in) wide. The pale golden yellow gills on the underside of the cap are closely spaced and sometimes forked. One of the mushroom's most distinctive features is the large amount of latex (""milk"") that it exudes when the gills are damaged, leading to the common names weeping milk cap and voluminous-latex milky. It also has a distinctive fishy smell, which does not affect the taste. The fruit bodies have been chemically analysed and found to contain several sterols related to ergosterol, some of which are unique to this species. The mushroom also contains a natural rubber that has been chemically characterized. Phylogenetic analysis suggests that Lactifluus volemus represents several species or subspecies, rather than a single taxon."
Calostoma lutescens,unknown,LATTICE PUFFBALL,,,"Calostoma cinnabarina, Calostoma ravenelii",
Calostoma cinnabarina,unknown,ASPIC PUFFBALL,,"summer, fall","Calostoma lutescens, Calostoma ravenelii","Calostoma cinnabarinum is a species of gasteroid fungus in the family Sclerodermataceae, and is the type species of the genus Calostoma. It is known by several common names, including stalked puffball-in-aspic and gelatinous stalked-puffball. The fruit body has a distinctive color and overall appearance, featuring a layer of yellowish jelly surrounding a bright red, spherical head approximately 2 centimeters (0.8 in) in diameter atop a red or yellowish brown spongy stipe 1.5 to 4 cm (0.6 to 2 in) tall. The innermost layer of the head is the gleba, containing clear or slightly yellowish elliptical spores, measuring 14–20 micrometers (µm) long by 6–9 µm across. The spore surface features a pattern of small pits, producing a net-like appearance. A widely distributed species, it grows naturally in eastern North America, Central America, northeastern South America, and East Asia. C. cinnabarinum grows on the ground in deciduous forests, where it forms mycorrhizal associations with oaks.
Despite its appearance and common name, C. cinnabarinum is not related to the true puffballs or to species in the genus Podaxis (also commonly called ""stalked puffballs""). It is also unrelated to earthstars and stinkhorns. However, C. cinnabarinum has had a complex taxonomic history that at various times confused it with each of those groups, until the advent of molecular phylogenetics. Although eaten or used in folk medicine in some areas, it is typically considered inedible."
Anthurus gardneri,unknown,LIZARD CLAW ,,summer,Lysurus mokusin,
Lysurus mokusin,unknown,RIBBED LIZARD CLAW,,"spring, summer, fall",Anthurus gardneri,"Lysurus mokusin, commonly known as the lantern stinkhorn, the small lizard's claw, or the ribbed lizard claw, is a saprobic species of fungus in the family Phallaceae. The fruit body consists of a reddish, cylindrical fluted stipe that is capped with several ""arms"". The arms can approach or even close in on each other to form a spire. The gleba—an olive-green slimy spore mass—is carried on the outer surface of the arms. The fruit body, which has an odor comparable to ""fresh dog feces"", ""rotting flesh"", or ""sewage"" when mature, is edible in its immature ""egg"" stage. The fungus is native to Asia, and is also found in Australia, Europe and North America, where it is probably an introduced species. It has been used medicinally in China as an ulcer remedy."
Clathrus columnatus,no,COLUMN STINKHORN,,"fall, winter","Pseudocolus fusiformis, Clathrus bicolumnatus, Clathrus ruber","Clathrus columnatus, commonly known as the column stinkhorn, is a saprobic species of basidiomycete fungus in the family Phallaceae. It has a widespread distribution, and has been found in Africa, Australasia, and the Americas. It may have been introduced to North America with exotic plants. Similar to other stinkhorn fungi, the fruiting body, known as the receptaculum, starts out as a subterranean ""egg"" form. As the fungus develops, the receptaculum expands and erupts out of the protective volva, ultimately developing into mature structures characterized by two to five long vertical orange or red spongy columns, joined together at the apex. The fully grown receptaculum reaches heights of 8 cm (3.1 in) tall. The inside surfaces of the columns are covered with a fetid olive-brown spore-containing slime, which attracts flies and other insects that help disseminate the spores. Although once considered undesirable, the fungus is listed as edible. It is found commonly in mulch."
Clathrus ruber,unknown,LATTICE STINKHORN,,,"Pseudocolus fusiformis, Clathrus bicolumnatus, Clathrus columnatus","Clathrus ruber is a species of fungus in the stinkhorn family, and the type species of the genus Clathrus. It is commonly known as the latticed stinkhorn, the basket stinkhorn, or the red cage, alluding to the striking fruit bodies that are shaped somewhat like a round or oval hollow sphere with interlaced or latticed branches. The fungus is saprobic, feeding off decaying woody plant material, and is often found alone or in groups in leaf litter on garden soil, grassy places, or on woodchip garden mulches. Although considered primarily a European species, C. ruber has been introduced to other areas, and now has a wide distribution that includes northern Africa, Asia, Australia, and North and South America. The species was illustrated in the scientific literature during the 16th century, but was not officially described until 1729.
The fruit body initially appears like a whitish ""egg"" attached to the ground at the base by cords called rhizomorphs. The egg has a delicate, leathery outer membrane enclosing the compressed lattice that surrounds a layer of olive-green spore-bearing slime called the gleba, which contains high levels of calcium that help protect the fruit body during development. As the egg ruptures and the fruit body expands, the gleba is carried upward on the inner surfaces of the spongy lattice, and the egg membrane remains as a volva around the base of the structure. The fruit body can reach heights of up to 20 cm (7.9 in). The color of the fruit body, which can range from pink to orange to red, results primarily from the carotenoid pigments lycopene and beta-carotene. The gleba has a fetid odor, somewhat like rotting meat, which attracts flies and other insects to help disperse its spores. Although the edibility of the fungus is not known with certainty, its odor would deter most from consuming it. C. ruber was not regarded highly in tales in southern European folklore, which suggested that those who handled the mushroom risked contracting various ailments."
Pseudocolus fusiformis,no*,STINKY SQUID,,,"Clathrus ruber, Clathrus bicolumnatus, Clathrus columnatus","Pseudocolus fusiformis is a stinkhorn mushroom in the Phallaceae, a family well known for a remarkable range of fruit body types. It is the most widely distributed member of the genus Pseudocolus and has been found in the United States, Australia, Japan, Java, and the Philippines. It is commonly known as the stinky squid, because of its fetid odor, and its three or four upright ""arms"" which are connected at the top. The malodorous smell comes from the dark greenish slimy gleba covering the inside faces of the arms, and attracts insects that help to disperse the spores."
Simblum sphaerocephalum,no*,CHAMBERED STINKHORN,,,Simblum texensis,
Phallogaster saccatus,unknown,SAC STINKHORN,,"spring, summer",,"Phallogaster is a fungal genus in the family Phallogastraceae. The genus is monotypic, containing the single truffle-like species Phallogaster saccatus, commonly known as the club-shaped stinkhorn or the stink poke."
Phallus duplicatus,no*,NET STINKHORN,,,"Phallus impudicus, Phallus ravenelii","Phallus duplicatus (common name, netted stinkhorn or wood witch) is a species of fungus in the stinkhorn family. The bell-shaped to oval cap is green-brown, the cylindrical stalk is white. When mature the cap becomes sticky with a slimy green coating that attracts flies that disperse its spores, and it has a distinct, ""netted"" universal veil. The fungus is edible when still in the ""egg"" stage, before the fruit body has expanded. It grows often in public lawns, and can also be found in meadows."
Mutinus caninus,no,DOG STINKHORN,,"summer, fall",Mutinus elegans,"Mutinus caninus, commonly known as the dog stinkhorn, is a small thin, phallus-shaped woodland fungus, with a dark tip. It is often found growing in small groups on wood debris, or in leaf litter, during summer and autumn in Europe, Asia, and eastern North America. It is not generally considered edible, although there are reports of the immature 'eggs' being consumed."
Phallus ravenelii,no*,EASTERN STINKHORN,,"summer, fall","Phallus impudicus, Phallus duplicatus","Phallus ravenelii, commonly known as Ravenel's stinkhorn, is a fungus found in eastern North America. Its mushrooms commonly grow in large clusters and are noted for their foul odor and phallic shape when mature. It is saprobic, and as such it is encountered in a wide variety of habitats rich in wood debris, from forests to mulched gardens or sawdust piles in urban areas. It appears from August to October. The fruit body emerges from a pink or lavender-colored egg to form a tall, cylindrical, hollow and spongy white stalk with a bell-shaped cap. The remains of the egg persist as a white to pink or lilac volva at the base of the stalk. The cap is covered in a foul-smelling olive-green spore slime, which attracts insects that help to spread the spores. Sometimes, the cap has a ""veil"" attached—a thin membrane that hangs underneath. The lack of a roughly ridged and pitted cap differentiates it from the closely related Phallus impudicus. The fungus is named after Henry William Ravenel, a botanist who first discovered it in 1846, though it remained undescribed until 1873. It is considered to be an edible mushroom while in its egg form."
Truncocolumella citrina,unknown,CITRINE FALSE TRUFFLE,,"summer, fall",,
Gastroboletus turbinatus,unknown,BOLETE FALSE TRUFFLE,,"summer, fall",,
Thaxtergaster pinguis,unknown,SLIMY POUCH,,"summer, fall",,
Bovista pila,yes,PUFFBALL,,"summer, fall","Bovista plumbea, Bovista minor, Lycoperdon echinatum, Lycoperdon marginatum, Lycoperdon pulcherrimum","Bovista pila, commonly known as the tumbling puffball, is a species of puffball fungus in the family Agaricaceae. A temperate species, it is widely distributed in North America, where it grows on the ground on road sides, in pastures, grassy areas, and open woods. There are few well-documented occurrences of B. pila outside North America. B. pila closely resembles the European B. nigrescens, from which it can be reliably distinguished only by microscopic characteristics.
The egg-shaped to spherical puffball of B. pila measures up to 8 cm (3 in) in diameter. Its white outer skin flakes off in age to reveal a shiny, bronze-colored inner skin that encloses a spore sac. The spores are more or less spherical, with short tube-like extensions. The puffballs are initially attached to the ground by a small cord that readily breaks off, leaving the mature puffball to be blown about. Young puffballs are edible while their internal tissue is still white and firm. B. pila puffballs have been used by the Chippewa people of North America as a charm, and as an ethnoveterinary medicine for livestock farming in western Canada.

"
Calvatia cyathiformis,yes,VASE PUFFBALL ,,"summer, fall","Calvatia leiospora, Calvatia sigillata, Calvatia fragilis","Calvatia cyathiformis, or purple-spored puffball, is a large edible saprobic species of Calvatia. This terrestrial puffball has purplish or purple-brown spores, which distinguish it from other large Lycoperdales. It is found mostly in prairie or grasslands of North America, Australia, and probably elsewhere."
Calvatia fumosa,unknown,SMOKY PUFFBALL,,"summer, fall","Calvatia subcretacea, Calvatia hesperia, Calvatia pachyderma","Gastropila fumosa is a species of puffball in the family Agaricaceae. It was first described as Calvatia fumosa by American mycologist Sanford Myron Zeller in 1947, and later transferred to Gastropila in 1976. Some authors place it instead in the genus Handkea, circumscribed by Hanns Kreisel in 1989."
